countries,infected,deaths,recovered,active,death_rate,recovery_rate,infected_today,deaths_today,recovered_today,critical,tests
Singapore,1114,5,282,827,0.4,25.3,,,,,
Croatia,1079,8,92,979,0.7,8.5,,,,,
Qatar,1075,3,93,979,0.3,8.7,,,,,
Ukraine,1072,27,22,1023,2.5,2.1,,,,,
Egypt,985,66,216,703,6.7,21.9,,,,,
Estonia,961,12,48,901,1.2,5.0,,,,,
Slovenia,934,20,70,844,2.1,7.5,,,,,
New Zealand,868,1,103,764,0.1,11.9,,,,,
Hong Kong,845,4,173,668,0.5,20.5,,,,,
Iraq,820,54,226,540,6.6,27.6,,,,,
Morocco,791,48,57,686,6.1,7.2,,,,,
Armenia,736,7,43,686,1.0,5.8,,,,,
Cruise Ship,712,11,619,82,1.5,86.9,,,,,
Lithuania,696,9,7,680,1.3,1.0,,,,,
Bahrain,672,4,382,286,0.6,56.8,,,,,
Hungary,623,26,43,554,4.2,6.9,,,,,
Moldova,591,8,26,557,1.4,4.4,,,,,
Bosnia and Herzegovina,579,17,27,535,2.9,4.7,,,,,
Cameroon,509,8,17,484,1.6,3.3,,,,,
Lebanon,508,17,50,441,3.3,9.8,,,,,
Tunisia,495,18,5,472,3.6,1.0,,,,,
Latvia,493,1,1,491,0.2,0.2,,,,,
Bulgaria,485,14,30,441,2.9,6.2,,,,,
Kazakhstan,464,6,29,429,1.3,6.3,,,,,
Slovakia,450,1,10,439,0.2,2.2,,,,,
Azerbaijan,443,5,32,406,1.1,7.2,,,,,
Andorra,439,16,16,407,3.6,3.6,,,,,
North Macedonia,430,12,20,398,2.8,4.7,,,,,
Kuwait,417,0,82,335,0.0,19.7,,,,,
Costa Rica,416,2,11,403,0.5,2.6,,,,,
Cyprus,396,11,28,357,2.8,7.1,,,,,
Uruguay,369,4,68,297,1.1,18.4,,,,,
Belarus,351,4,53,294,1.1,15.1,,,,,
Taiwan,348,5,50,293,1.4,14.4,,,,,
Réunion,321,0,40,281,0.0,12.5,,,,,
Jordan,310,5,58,247,1.6,18.7,,,,,
Albania,304,17,89,198,5.6,29.3,,,,,
Burkina Faso,302,16,50,236,5.3,16.6,,,,,
Afghanistan,281,6,10,265,2.1,3.6,,,,,
Cuba,269,6,15,248,2.2,5.6,,,,,
Oman,252,1,57,194,0.4,22.6,,,,,
San Marino,245,30,21,194,12.2,8.6,,,,,
Vietnam,237,0,85,152,0.0,35.9,,,,,
Channel Islands,232,4,13,215,1.7,5.6,,,,,
Uzbekistan,227,2,25,200,0.9,11.0,,,,,
Honduras,222,15,3,204,6.8,1.4,,,,,
Ivory Coast,218,1,19,198,0.5,8.7,,,,,
Nigeria,210,4,25,181,1.9,11.9,,,,,
Senegal,207,1,66,140,0.5,31.9,,,,,
Ghana,205,5,31,169,2.4,15.1,,,,,
Malta,202,0,2,200,0.0,1.0,,,,,
West Bank and Gaza,194,1,21,172,0.5,10.8,,,,,
Palestine,194,1,21,172,0.5,10.8,,,,,
Mauritius,186,7,0,179,3.8,0.0,,,,,
Faroe Islands,179,0,91,88,0.0,50.8,,,,,
Montenegro,174,2,1,171,1.1,0.6,,,,,
Sri Lanka,159,4,24,131,2.5,15.1,,,,,
Georgia,155,0,28,127,0.0,18.1,,,,,
Venezuela,153,7,52,94,4.6,34.0,,,,,
Martinique,143,3,27,113,2.1,18.9,,,,,
Brunei,134,1,65,68,0.7,48.5,,,,,
Congo (Kinshasa),134,13,3,118,9.7,2.2,,,,,
Bolivia,132,9,1,122,6.8,0.8,,,,,
Kyrgyzstan,130,1,6,123,0.8,4.6,,,,,
Guadeloupe,130,7,24,99,5.4,18.5,,,,,
Mayotte,128,2,10,116,1.6,7.8,,,,,
Kosovo,126,1,10,115,0.8,7.9,,,,,
Kenya,122,4,4,114,3.3,3.3,,,,,
Niger,120,5,0,115,4.2,0.0,,,,,
Isle of Man,114,1,0,113,0.9,0.0,,,,,
Cambodia,114,0,35,79,0.0,30.7,,,,,
Trinidad and Tobago,98,6,1,91,6.1,1.0,,,,,
Gibraltar,95,0,46,49,0.0,48.4,,,,,
Paraguay,92,3,6,83,3.3,6.5,,,,,
Rwanda,89,0,0,89,0.0,0.0,,,,,
Liechtenstein,75,0,0,75,0.0,0.0,,,,,
Guinea,73,0,2,71,0.0,2.7,,,,,
Madagascar,70,0,0,70,0.0,0.0,,,,,
Monaco,64,1,3,60,1.6,4.7,,,,,
Aruba,62,0,1,61,0.0,1.6,,,,,
Bangladesh,61,6,26,29,9.8,42.6,,,,,
French Guiana,57,0,22,35,0.0,38.6,,,,,
Barbados,51,0,0,51,0.0,0.0,,,,,
Guatemala,50,1,12,37,2.0,24.0,,,,,
Djibouti,49,0,8,41,0.0,16.3,,,,,
Uganda,48,0,0,48,0.0,0.0,,,,,
Jamaica,47,3,2,42,6.4,4.3,,,,,
El Salvador,46,2,0,44,4.3,0.0,,,,,
Macau,42,0,10,32,0.0,23.8,,,,,
Togo,40,3,17,20,7.5,42.5,,,,,
Mali,39,3,0,36,7.7,0.0,,,,,
Zambia,39,1,2,36,2.6,5.1,,,,,
Bermuda,35,0,14,21,0.0,40.0,,,,,
Ethiopia,35,0,3,32,0.0,8.6,,,,,
Cayman Islands,28,1,0,27,3.6,0.0,,,,,
Bahamas,24,1,1,22,4.2,4.2,,,,,
Guyana,23,4,0,19,17.4,0.0,,,,,
Sint Maarten,23,2,6,15,8.7,26.1,,,,,
Congo (Brazzaville),22,2,2,18,9.1,9.1,,,,,
Eritrea,22,0,0,22,0.0,0.0,,,,,
Saint Martin,22,1,2,19,4.5,9.1,,,,,
Gabon,21,1,1,19,4.8,4.8,,,,,
Myanmar,20,1,0,19,5.0,0.0,,,,,
Tanzania,20,1,3,16,5.0,15.0,,,,,
Maldives,19,0,13,6,0.0,68.4,,,,,
New Caledonia,18,0,1,17,0.0,5.6,,,,,
Haiti,18,0,1,17,0.0,5.6,,,,,
Equatorial Guinea,16,0,1,15,0.0,6.3,,,,,
Benin,16,0,2,14,0.0,12.5,,,,,
Syria,16,2,0,14,12.5,0.0,,,,,
Antigua and Barbuda,15,0,0,15,0.0,0.0,,,,,
Guinea-Bissau,15,0,0,15,0.0,0.0,,,,,
Namibia,14,0,3,11,0.0,21.4,,,,,
Mongolia,14,0,2,12,0.0,14.3,,,,,
Saint Lucia,13,0,1,12,0.0,7.7,,,,,
Dominica,12,0,0,12,0.0,0.0,,,,,
Grenada,12,0,0,12,0.0,0.0,,,,,
Curaçao,11,1,3,7,9.1,27.3,,,,,
Libya,11,1,0,10,9.1,0.0,,,,,
Laos,10,0,0,10,0.0,0.0,,,,,
Suriname,10,1,0,9,10.0,0.0,,,,,
Sudan,10,2,2,6,20.0,20.0,,,,,
Greenland,10,0,3,7,0.0,30.0,,,,,
Mozambique,10,0,0,10,0.0,0.0,,,,,
Seychelles,10,0,0,10,0.0,0.0,,,,,
Saint Kitts and Nevis,9,0,0,9,0.0,0.0,,,,,
Eswatini,9,0,0,9,0.0,0.0,,,,,
MS Zaandam,9,2,0,7,22.2,0.0,,,,,
Zimbabwe,9,1,0,8,11.1,0.0,,,,,
Chad,8,0,0,8,0.0,0.0,,,,,
CAR,8,0,0,8,0.0,0.0,,,,,
Angola,8,2,1,5,25.0,12.5,,,,,
Vatican City,7,0,0,7,0.0,0.0,,,,,
Somalia,7,0,1,6,0.0,14.3,,,,,
Liberia,7,0,0,7,0.0,0.0,,,,,
Fiji,7,0,0,7,0.0,0.0,,,,,
Mauritania,6,1,2,3,16.7,33.3,,,,,
St. Barth,6,0,1,5,0.0,16.7,,,,,
Montserrat,6,0,0,6,0.0,0.0,,,,,
Nepal,6,0,1,5,0.0,16.7,,,,,
Cabo Verde,6,1,0,5,16.7,0.0,,,,,
Turks and Caicos,5,0,0,5,0.0,0.0,,,,,
Nicaragua,5,1,0,4,20.0,0.0,,,,,
Bhutan,5,0,2,3,0.0,40.0,,,,,
Botswana,4,1,0,3,25.0,0.0,,,,,
Belize,4,0,0,4,0.0,0.0,,,,,
Gambia,4,1,2,1,25.0,50.0,,,,,
Malawi,3,0,0,3,0.0,0.0,,,,,
Anguilla,3,0,0,3,0.0,0.0,,,,,
Burundi,3,0,0,3,0.0,0.0,,,,,
St. Vincent Grenadines,3,0,1,2,0.0,33.3,,,,,
British Virgin Islands,3,0,0,3,0.0,0.0,,,,,
Sierra Leone,2,0,0,2,0.0,0.0,,,,,
Caribbean Netherlands,2,0,0,2,0.0,0.0,,,,,
Falkland Islands,1,0,0,1,0.0,0.0,,,,,
Papua New Guinea,1,0,0,1,0.0,0.0,,,,,
Timor-Leste,1,0,0,1,0.0,0.0,,,,,
Total,1097574,58823,228607,810144,5.4,20.8,,,,,
United States,308608,8397,14691,285520,2.7,4.8,,,,,
Spain,126168,11947,34219,80002,9.5,27.1,,,,,
Italy,124632,15362,20996,88274,12.3,16.8,,,,,
Germany,96092,1444,26400,68248,1.5,27.5,,,,,
France,89953,7560,15438,66955,8.4,17.2,,,,,
China,82524,3330,76927,2267,4.0,93.2,,,,,
Iran,55743,3452,19736,32555,6.2,35.4,,,,,
United Kingdom,42431,4320,215,37896,10.2,0.5,,,,,
Turkey,23934,501,786,22647,2.1,3.3,,,,,
Switzerland,20505,666,6415,13424,3.2,31.3,,,,,
Belgium,18431,1283,3247,13901,7.0,17.6,,,,,
Netherlands,16714,1655,257,14802,9.9,1.5,,,,,
Canada,13912,231,2595,11086,1.7,18.7,,,,,
Austria,11781,186,2507,9088,1.6,21.3,,,,,
Portugal,10524,266,75,10183,2.5,0.7,,,,,
Brazil,10278,431,127,9720,4.2,1.2,,,,,
South Korea,10156,177,6325,3654,1.7,62.3,,,,,
Israel,7851,44,427,7380,0.6,5.4,,,,,
Sweden,6443,373,205,5865,5.8,3.2,,,,,
Australia,5550,30,701,4819,0.5,12.6,,,,,
Norway,5550,62,32,5456,1.1,0.6,,,,,
Russia,4731,43,333,4355,0.9,7.0,,,,,
Ireland,4604,137,25,4442,3.0,0.5,,,,,
Czechia,4362,59,78,4225,1.4,1.8,,,,,
Denmark,4258,161,1376,2721,3.8,32.3,,,,,
Chile,4161,27,528,3606,0.6,12.7,,,,,
Poland,3627,79,116,3432,2.2,3.2,,,,,
Romania,3613,146,329,3138,4.0,9.1,,,,,
Malaysia,3483,57,915,2511,1.6,26.3,,,,,
Ecuador,3465,172,100,3193,5.0,2.9,,,,,
Philippines,3094,144,57,2893,4.7,1.8,,,,,
India,3082,86,229,2767,2.8,7.4,,,,,
Japan,2935,69,514,2352,2.4,17.5,,,,,
Pakistan,2818,41,131,2646,1.5,4.6,,,,,
Luxembourg,2729,31,500,2198,1.1,18.3,,,,,
Saudi Arabia,2179,29,420,1730,1.3,19.3,,,,,
Indonesia,2092,191,150,1751,9.1,7.2,,,,,
Thailand,2067,20,674,1373,1.0,32.6,,,,,
Finland,1882,25,300,1557,1.3,15.9,,,,,
Peru,1746,73,914,759,4.2,52.3,,,,,
Mexico,1688,60,633,995,3.6,37.5,,,,,
Greece,1673,68,78,1527,4.1,4.7,,,,,
Panama,1673,41,13,1619,2.5,0.8,,,,,
Serbia,1624,44,54,1526,2.7,3.3,,,,,
South Africa,1585,9,95,1481,0.6,6.0,,,,,
United Arab Emirates,1505,10,125,1370,0.7,8.3,,,,,
Dominican Republic,1488,68,16,1404,4.6,1.1,,,,,
Iceland,1417,4,396,1017,0.3,27.9,,,,,
Colombia,1406,32,85,1289,2.3,6.0,,,,,
Argentina,1353,42,279,1032,3.1,20.6,,,,,
Qatar,1325,3,109,1213,0.2,8.2,,,,,
Algeria,1251,130,90,1031,10.4,7.2,,,,,
Ukraine,1225,32,25,1168,2.6,2.0,,,,,
Singapore,1189,6,297,886,0.5,25.0,,,,,
Croatia,1126,12,119,995,1.1,10.6,,,,,
Egypt,1070,71,241,758,6.6,22.5,,,,,
Estonia,1039,13,59,967,1.3,5.7,,,,,
Slovenia,977,22,79,876,2.3,8.1,,,,,
New Zealand,950,1,127,822,0.1,13.4,,,,,
Morocco,919,59,66,794,6.4,7.2,,,,,
Iraq,878,56,259,563,6.4,29.5,,,,,
Hong Kong,862,4,173,685,0.5,20.1,,,,,
Lithuania,771,11,7,753,1.4,0.9,,,,,
Armenia,770,7,43,720,0.9,5.6,,,,,
Moldova,752,12,29,711,1.6,3.9,,,,,
Cruise Ship,712,11,619,82,1.5,86.9,,,,,
Bahrain,688,4,423,261,0.6,61.5,,,,,
Hungary,678,32,58,588,4.7,8.6,,,,,
Bosnia and Herzegovina,624,21,30,573,3.4,4.8,,,,,
Cameroon,555,9,17,529,1.6,3.1,,,,,
Tunisia,553,18,5,530,3.3,0.9,,,,,
Kazakhstan,531,5,36,490,0.9,6.8,,,,,
Azerbaijan,521,5,32,484,1.0,6.1,,,,,
Lebanon,520,17,54,449,3.3,10.4,,,,,
Latvia,509,1,1,507,0.2,0.2,,,,,
Bulgaria,503,17,34,452,3.4,6.8,,,,,
North Macedonia,483,17,20,446,3.5,4.1,,,,,
Kuwait,479,1,93,385,0.2,19.4,,,,,
Slovakia,471,1,10,460,0.2,2.1,,,,,
Andorra,466,17,21,428,3.6,4.5,,,,,
Belarus,440,5,53,382,1.1,12.0,,,,,
Costa Rica,435,2,13,420,0.5,3.0,,,,,
Cyprus,426,11,33,382,2.6,7.7,,,,,
Uruguay,386,5,86,295,1.3,22.3,,,,,
Taiwan,355,5,50,300,1.4,14.1,,,,,
Réunion,334,0,40,294,0.0,12.0,,,,,
Albania,333,20,99,214,6.0,29.7,,,,,
Jordan,323,5,74,244,1.5,22.9,,,,,
Burkina Faso,318,16,66,236,5.0,20.8,,,,,
Afghanistan,299,7,10,282,2.3,3.3,,,,,
Cuba,288,6,15,267,2.1,5.2,,,,,
Oman,277,2,61,214,0.7,22.0,,,,,
Uzbekistan,266,2,25,239,0.8,9.4,,,,,
Honduras,264,15,3,246,5.7,1.1,,,,,
Channel Islands,262,5,13,244,1.9,5.0,,,,,
San Marino,251,32,26,193,12.7,10.4,,,,,
Ivory Coast,245,1,25,219,0.4,10.2,,,,,
Vietnam,240,0,90,150,0.0,37.5,,,,,
Senegal,219,2,72,145,0.9,32.9,,,,,
Palestine,217,1,21,195,0.5,9.7,,,,,
West Bank and Gaza,217,1,21,195,0.5,9.7,,,,,
Nigeria,214,4,25,185,1.9,11.7,,,,,
Malta,213,0,2,211,0.0,0.9,,,,,
Ghana,205,5,31,169,2.4,15.1,,,,,
Montenegro,201,2,1,198,1.0,0.5,,,,,
Mauritius,196,7,7,182,3.6,3.6,,,,,
Faroe Islands,181,0,93,88,0.0,51.4,,,,,
Sri Lanka,166,5,27,134,3.0,16.3,,,,,
Georgia,162,1,36,125,0.6,22.2,,,,,
Venezuela,155,7,52,96,4.5,33.5,,,,,
Congo (Kinshasa),148,16,3,129,10.8,2.0,,,,,
Martinique,145,3,27,115,2.1,18.6,,,,,
Kyrgyzstan,144,1,9,134,0.7,6.3,,,,,
Niger,144,8,0,136,5.6,0.0,,,,,
Bolivia,139,10,1,128,7.2,0.7,,,,,
Kosovo,135,1,16,118,0.7,11.9,,,,,
Brunei,135,1,66,68,0.7,48.9,,,,,
Guadeloupe,134,7,24,103,5.2,17.9,,,,,
Mayotte,134,2,14,118,1.5,10.4,,,,,
Isle of Man,126,1,0,125,0.8,0.0,,,,,
Kenya,126,4,4,118,3.2,3.2,,,,,
Cambodia,114,0,50,64,0.0,43.9,,,,,
Guinea,111,0,5,106,0.0,4.5,,,,,
Trinidad and Tobago,103,6,1,96,5.8,1.0,,,,,
Rwanda,102,0,0,102,0.0,0.0,,,,,
Gibraltar,98,0,52,46,0.0,53.1,,,,,
Paraguay,96,3,12,81,3.1,12.5,,,,,
Liechtenstein,77,1,0,76,1.3,0.0,,,,,
Bangladesh,70,8,30,32,11.4,42.9,,,,,
Madagascar,70,0,0,70,0.0,0.0,,,,,
Monaco,66,1,3,62,1.5,4.5,,,,,
Aruba,64,0,1,63,0.0,1.6,,,,,
French Guiana,61,0,22,39,0.0,36.1,,,,,
Guatemala,57,2,15,40,3.5,26.3,,,,,
El Salvador,56,3,2,51,5.4,3.6,,,,,
Jamaica,53,3,7,43,5.7,13.2,,,,,
Barbados,52,0,0,52,0.0,0.0,,,,,
Djibouti,50,0,8,42,0.0,16.0,,,,,
Uganda,48,0,0,48,0.0,0.0,,,,,
Macau,43,0,10,33,0.0,23.3,,,,,
Togo,41,3,17,21,7.3,41.5,,,,,
Mali,41,3,1,37,7.3,2.4,,,,,
Zambia,39,1,2,36,2.6,5.1,,,,,
Ethiopia,38,0,4,34,0.0,10.5,,,,,
Bermuda,35,0,14,21,0.0,40.0,,,,,
Cayman Islands,35,1,1,33,2.9,2.9,,,,,
Eritrea,29,0,0,29,0.0,0.0,,,,,
Bahamas,28,4,0,24,14.3,0.0,,,,,
Saint Martin,24,2,5,17,8.3,20.8,,,,,
Guyana,23,4,0,19,17.4,0.0,,,,,
Sint Maarten,23,4,6,13,17.4,26.1,,,,,
Congo (Brazzaville),22,2,2,18,9.1,9.1,,,,,
Gabon,21,1,1,19,4.8,4.8,,,,,
Myanmar,21,1,0,20,4.8,0.0,,,,,
Haiti,20,0,1,19,0.0,5.0,,,,,
Tanzania,20,1,3,16,5.0,15.0,,,,,
Maldives,19,0,13,6,0.0,68.4,,,,,
Guinea-Bissau,18,0,0,18,0.0,0.0,,,,,
New Caledonia,17,0,1,16,0.0,5.9,,,,,
Libya,17,1,0,16,5.9,0.0,,,,,
Syria,16,2,2,12,12.5,12.5,,,,,
Benin,16,0,2,14,0.0,12.5,,,,,
Equatorial Guinea,16,0,1,15,0.0,6.3,,,,,
Antigua and Barbuda,15,0,0,15,0.0,0.0,,,,,
Dominica,14,0,0,14,0.0,0.0,,,,,
Saint Lucia,14,0,1,13,0.0,7.1,,,,,
Mongolia,14,0,2,12,0.0,14.3,,,,,
Namibia,14,0,3,11,0.0,21.4,,,,,
Fiji,12,0,0,12,0.0,0.0,,,,,
Grenada,12,0,0,12,0.0,0.0,,,,,
Greenland,11,0,3,8,0.0,27.3,,,,,
Curaçao,11,1,5,5,9.1,45.5,,,,,
Angola,10,2,2,6,20.0,20.0,,,,,
Seychelles,10,0,0,10,0.0,0.0,,,,,
Sudan,10,2,2,6,20.0,20.0,,,,,
Laos,10,0,0,10,0.0,0.0,,,,,
Suriname,10,1,0,9,10.0,0.0,,,,,
Mozambique,10,0,1,9,0.0,10.0,,,,,
Liberia,10,1,3,6,10.0,30.0,,,,,
Saint Kitts and Nevis,9,0,0,9,0.0,0.0,,,,,
MS Zaandam,9,2,0,7,22.2,0.0,,,,,
Eswatini,9,0,0,9,0.0,0.0,,,,,
Chad,9,0,0,9,0.0,0.0,,,,,
Nepal,9,0,1,8,0.0,11.1,,,,,
Zimbabwe,9,1,0,8,11.1,0.0,,,,,
CAR,8,0,0,8,0.0,0.0,,,,,
Cabo Verde,7,1,0,6,14.3,0.0,,,,,
St. Vincent Grenadines,7,0,1,6,0.0,14.3,,,,,
Vatican City,7,0,0,7,0.0,0.0,,,,,
Somalia,7,0,1,6,0.0,14.3,,,,,
Montserrat,6,0,0,6,0.0,0.0,,,,,
Mauritania,6,1,2,3,16.7,33.3,,,,,
St. Barth,6,0,1,5,0.0,16.7,,,,,
Bhutan,5,0,2,3,0.0,40.0,,,,,
Turks and Caicos,5,0,0,5,0.0,0.0,,,,,
Nicaragua,5,1,0,4,20.0,0.0,,,,,
Botswana,4,1,0,3,25.0,0.0,,,,,
Sierra Leone,4,0,0,4,0.0,0.0,,,,,
Malawi,4,0,0,4,0.0,0.0,,,,,
Gambia,4,1,2,1,25.0,50.0,,,,,
Belize,4,0,0,4,0.0,0.0,,,,,
Anguilla,3,0,0,3,0.0,0.0,,,,,
British Virgin Islands,3,0,0,3,0.0,0.0,,,,,
Burundi,3,0,0,3,0.0,0.0,,,,,
Caribbean Netherlands,2,0,0,2,0.0,0.0,,,,,
Timor-Leste,1,0,0,1,0.0,0.0,,,,,
Falkland Islands,1,0,0,1,0.0,0.0,,,,,
Papua New Guinea,1,0,0,1,0.0,0.0,,,,,
Total,1199429,64600,246620,888209,5.4,20.6,,,,,
United States,396215,12790,21674,361751,3.2,5.5,29609.0,1931.0,2101.0,9169.0,2065073.0
Spain,141942,14045,43208,84689,9.9,30.4,5267.0,704.0,2771.0,7069.0,355000.0
Italy,135586,17127,24392,94067,12.6,18.0,3039.0,604.0,1555.0,3792.0,755445.0
France,109069,10328,19337,79404,9.5,17.7,11059.0,1417.0,2087.0,7131.0,224254.0
Germany,107663,2016,36081,69566,1.9,33.5,4289.0,206.0,7381.0,4895.0,918460.0
China,82699,3335,77391,1973,4.0,93.6,53.0,0.0,100.0,211.0,0.0
Iran,62589,3872,27039,31678,6.2,43.2,2089.0,133.0,2803.0,3987.0,211136.0
United Kingdom,55924,6170,325,49429,11.0,0.6,3667.0,786.0,38.0,1559.0,266694.0
Turkey,34109,725,1582,31802,2.1,4.6,3892.0,76.0,256.0,1474.0,228868.0
Switzerland,22253,821,8704,12728,3.7,39.1,596.0,56.0,648.0,391.0,167429.0
Belgium,22194,2035,4157,16002,9.2,18.7,1380.0,403.0,171.0,1260.0,80512.0
Netherlands,19694,2107,265,17322,10.7,1.3,783.0,234.0,12.0,1424.0,86589.0
Canada,17897,381,4028,13488,2.1,22.5,1230.0,43.0,412.0,426.0,346507.0
Brazil,14034,686,127,13221,4.9,0.9,1851.0,122.0,0.0,296.0,54824.0
Austria,12639,243,4046,8350,1.9,32.0,342.0,23.0,583.0,243.0,115235.0
Portugal,12442,345,184,11913,2.8,1.5,712.0,34.0,44.0,271.0,121256.0
South Korea,10331,192,6694,3445,1.9,64.8,47.0,6.0,96.0,55.0,477304.0
Israel,9248,65,770,8413,0.7,8.3,344.0,8.0,185.0,149.0,117339.0
Sweden,7693,591,205,6897,7.7,2.7,487.0,114.0,0.0,640.0,54700.0
Russia,7497,58,494,6945,0.8,6.6,1154.0,11.0,88.0,8.0,795000.0
Norway,6086,89,32,5965,1.5,0.5,221.0,13.0,0.0,78.0,113896.0
Australia,5988,49,2547,3392,0.8,42.5,93.0,8.0,115.0,93.0,310700.0
Ireland,5709,210,25,5474,3.7,0.4,345.0,36.0,0.0,165.0,42484.0
India,5311,150,421,4740,2.8,7.9,533.0,14.0,46.0,0.0,140293.0
Denmark,5255,203,1611,3441,3.9,30.7,391.0,16.0,126.0,127.0,58419.0
Chile,5116,43,898,4175,0.8,17.6,301.0,6.0,170.0,337.0,57122.0
Czechia,5017,88,172,4757,1.8,3.4,195.0,10.0,51.0,86.0,91247.0
Poland,4848,129,191,4528,2.7,3.9,435.0,22.0,29.0,50.0,92215.0
Romania,4417,197,460,3760,4.5,10.4,360.0,21.0,54.0,274.0,43578.0
Pakistan,4035,57,429,3549,1.4,10.6,269.0,4.0,170.0,28.0,39183.0
Malaysia,3963,63,1321,2579,1.6,33.3,170.0,1.0,80.0,92.0,55566.0
Japan,3906,92,592,3222,2.4,15.2,252.0,7.0,17.0,79.0,55311.0
Philippines,3764,177,84,3503,4.7,2.2,104.0,14.0,11.0,1.0,22958.0
Ecuador,3747,191,100,3456,5.1,2.7,0.0,0.0,0.0,156.0,13039.0
Luxembourg,2970,44,500,2426,1.5,16.8,127.0,3.0,0.0,35.0,25702.0
Peru,2954,107,1301,1546,3.6,44.0,393.0,15.0,304.0,109.0,21555.0
Saudi Arabia,2795,41,615,2139,1.5,22.0,190.0,3.0,64.0,41.0,0.0
Indonesia,2738,221,204,2313,8.1,7.5,247.0,12.0,12.0,0.0,14354.0
Serbia,2447,61,118,2268,2.5,4.8,247.0,3.0,0.0,109.0,9626.0
Mexico,2439,125,633,1681,5.1,26.0,296.0,31.0,0.0,89.0,20475.0
United Arab Emirates,2359,12,186,2161,0.5,7.9,283.0,1.0,19.0,1.0,220000.0
Finland,2308,34,300,1974,1.5,13.0,132.0,7.0,0.0,81.0,34900.0
Thailand,2258,27,888,1343,1.2,39.3,38.0,1.0,95.0,61.0,71860.0
Panama,2100,55,14,2031,2.6,0.7,0.0,0.0,0.0,88.0,10297.0
Qatar,2057,6,150,1901,0.3,7.3,225.0,2.0,19.0,37.0,41818.0
Dominican Republic,1956,98,36,1822,5.0,1.8,128.0,12.0,3.0,147.0,4542.0
Greece,1832,81,269,1482,4.4,14.7,77.0,2.0,0.0,90.0,28584.0
Colombia,1780,50,100,1630,2.8,5.6,201.0,4.0,12.0,76.0,30445.0
South Africa,1749,13,95,1641,0.7,5.4,63.0,1.0,0.0,7.0,58098.0
Argentina,1628,56,338,1234,3.4,20.8,74.0,8.0,13.0,96.0,11778.0
Iceland,1586,6,559,1021,0.4,35.2,24.0,0.0,99.0,11.0,28991.0
Singapore,1481,6,377,1098,0.4,25.5,106.0,0.0,33.0,29.0,65000.0
Algeria,1468,193,113,1162,13.1,7.7,45.0,20.0,23.0,46.0,3359.0
