countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Sint Maarten,76,0,15,0,46,0,15,7,329,19.7,60.5
Yemen,70,0,12,0,1,0,57,0,120,17.1,1.4
Libya,64,0,3,0,28,0,33,0,3253,4.7,43.8
Malawi,63,0,3,0,24,0,36,1,1363,4.8,38.1
Mongolia,61,19,0,0,15,0,46,2,10162,0.0,24.6
Syria,48,0,3,0,29,0,16,0,0,6.2,60.4
Macau,45,0,0,0,43,0,2,1,0,0.0,95.6
Angola,45,0,2,0,14,0,29,0,3000,4.4,31.1
Saint Martin,39,0,3,0,30,0,6,1,0,7.7,76.9
Eritrea,39,0,0,0,38,0,1,0,0,0.0,97.4
Zimbabwe,37,0,4,0,12,0,21,0,20537,10.8,32.4
Nicaragua,25,0,8,0,7,0,10,0,0,32.0,28.0
Antigua and Barbuda,25,0,3,0,19,0,3,1,183,12.0,76.0
Botswana,24,0,1,0,17,0,6,0,11495,4.2,70.8
Timor-Leste,24,0,0,0,21,0,3,0,738,0.0,87.5
Gambia,23,0,1,0,10,0,12,0,1341,4.3,43.5
Grenada,21,0,0,0,13,0,8,4,1406,0.0,61.9
Laos,19,0,0,0,14,0,5,0,4092,0.0,73.7
Belize,18,0,2,0,16,0,0,0,1043,11.1,88.9
Saint Lucia,18,0,0,0,18,0,0,0,727,0.0,100.0
Fiji,18,0,0,0,14,0,4,0,1300,0.0,77.8
New Caledonia,18,0,0,0,18,0,0,0,5454,0.0,100.0
St. Vincent Grenadines,17,0,0,0,12,0,5,0,155,0.0,70.6
Curaçao,16,0,1,0,14,0,1,0,389,6.2,87.5
Mauritania,16,1,2,0,6,0,8,0,2015,12.5,37.5
Dominica,16,0,0,0,15,0,1,0,420,0.0,93.8
Namibia,16,0,0,0,12,1,4,0,2011,0.0,75.0
Saint Kitts and Nevis,15,0,0,0,14,0,1,0,327,0.0,93.3
Bhutan,15,4,0,0,5,0,10,0,12932,0.0,33.3
Burundi,15,0,1,0,7,0,7,0,284,6.7,46.7
Falkland Islands,13,0,0,0,13,0,0,0,402,0.0,100.0
Vatican City,12,0,0,0,2,0,10,0,0,0.0,16.7
Turks and Caicos,12,0,1,0,10,0,1,0,109,8.3,83.3
Montserrat,11,0,1,0,8,0,2,1,36,9.1,72.7
Seychelles,11,0,0,0,10,0,1,0,0,0.0,90.9
Comoros,11,0,1,0,0,0,10,0,0,9.1,0.0
Greenland,11,0,0,0,11,0,0,0,1520,0.0,100.0
Suriname,10,0,1,0,9,0,0,0,404,10.0,90.0
MS Zaandam,9,0,2,0,0,0,7,0,0,22.2,0.0
Papua New Guinea,8,0,0,0,8,0,0,0,2402,0.0,100.0
British Virgin Islands,7,0,1,0,4,0,2,0,167,14.3,57.1
Western Sahara,6,0,0,0,6,0,0,0,0,0.0,100.0
Caribbean Netherlands,6,0,0,0,6,0,0,0,357,0.0,100.0
St. Barth,6,0,0,0,6,0,0,0,0,0.0,100.0
Anguilla,3,0,0,0,3,0,0,0,0,0.0,100.0
Lesotho,1,0,0,0,0,0,1,0,0,0.0,0.0
Saint Pierre Miquelon,1,0,0,0,1,0,0,0,0,0.0,100.0
United States,1457970,1822,86932,41,318027,973,1053011,16240,10638893,6.0,21.8
Spain,272646,0,27321,0,186480,0,58845,1376,2467761,10.0,68.4
Russia,252245,0,2305,0,53530,0,196410,2300,6188102,0.9,21.2
United Kingdom,233700,1,33657,0,456,0,199587,1559,2219281,14.4,0.2
Italy,223096,0,31368,0,115288,0,76440,855,2807504,14.1,51.7
Brazil,203165,247,13999,6,79479,0,109687,8318,735224,6.9,39.1
France,178362,-508,27397,-28,59281,-324,91684,2299,1384633,15.4,33.2
Germany,174975,0,7928,0,150300,0,16747,1329,3147771,4.5,85.9
Turkey,144749,0,4007,0,104030,0,36712,963,1508824,2.8,71.9
Iran,114533,0,6854,0,90539,0,17140,2758,643772,6.0,79.1
China,82933,4,4633,0,78211,16,89,11,0,5.6,94.3
India,82103,106,2649,0,27977,8,51477,0,1947041,3.2,34.1
Peru,80604,0,2267,0,25151,0,53186,842,587292,2.8,31.2
Canada,74055,1,5581,0,36091,0,32383,502,1169380,7.5,48.7
Belgium,54288,0,8903,0,14111,0,31274,407,623628,16.4,26.0
Saudi Arabia,46869,0,283,0,19051,0,27535,156,513587,0.6,40.6
Netherlands,43481,0,5590,0,0,0,37891,410,282776,12.9,0.0
Mexico,42595,2409,4477,257,28475,1485,9643,378,142204,10.5,66.9
Pakistan,37218,1430,803,33,10155,460,26260,111,330750,2.2,27.3
Chile,37040,0,368,0,15655,0,21017,663,325417,1.0,42.3
Ecuador,30502,0,2338,0,3433,0,24731,196,88923,7.7,11.3
Switzerland,30463,0,1872,0,27100,0,1491,79,328163,6.1,89.0
Sweden,28582,0,3529,0,4971,0,20082,351,177500,12.3,17.4
Portugal,28319,0,1184,0,3198,0,23937,108,582341,4.2,11.3
Qatar,28272,0,14,0,3356,0,24902,72,143938,0.0,11.9
Belarus,26772,0,151,0,8168,0,18453,92,308156,0.6,30.5
Singapore,26098,0,21,0,5973,0,20104,20,224262,0.1,22.9
Ireland,23827,0,1506,0,19470,0,2851,69,258808,6.3,81.7
United Arab Emirates,21084,0,208,0,6930,0,13946,1,1560923,1.0,32.9
Bangladesh,18863,0,283,0,3361,0,15219,1,151930,1.5,17.8
Poland,17615,0,883,0,6696,0,10036,160,554357,5.0,38.0
Ukraine,17330,483,476,20,4473,330,12381,222,202495,2.7,25.8
Israel,16579,0,265,0,12521,0,3793,62,485922,1.6,75.5
Romania,16247,0,1053,0,9053,0,6141,225,286217,6.5,55.7
Japan,16120,0,697,0,9868,0,5555,259,233144,4.3,61.2
Austria,16058,0,626,0,14405,0,1027,54,344606,3.9,89.7
Indonesia,16006,0,1043,0,3518,0,11445,0,173690,6.5,22.0
Colombia,13610,0,525,0,3358,0,9727,137,177050,3.9,24.7
South Africa,12739,0,238,0,5676,0,6825,119,403018,1.9,44.6
Kuwait,11975,0,88,0,3451,0,8436,175,231930,0.7,28.8
Philippines,11876,0,790,0,2337,0,8749,77,189469,6.7,19.7
Dominican Republic,11320,0,422,0,3351,0,7547,131,47774,3.7,29.6
South Korea,11018,27,260,0,9821,59,937,55,726747,2.4,89.1
Egypt,10829,0,571,0,2626,0,7632,41,105000,5.3,24.2
Denmark,10713,0,537,0,8805,0,1371,35,357986,5.0,82.2
Serbia,10374,0,224,0,4084,0,6066,22,162797,2.2,39.4
Panama,9118,174,260,4,6080,13,2778,72,46898,2.9,66.7
Czechia,8351,0,293,0,5241,0,2817,42,334714,3.5,62.8
Norway,8196,0,232,0,32,0,7932,23,212655,2.8,0.4
Argentina,7134,0,353,0,2385,0,4396,170,93673,4.9,33.4
Australia,7019,30,98,0,6335,34,586,18,978976,1.4,90.3
Malaysia,6819,0,112,0,5351,0,1356,16,271721,1.6,78.5
Morocco,6607,0,190,0,3310,0,3107,1,77922,2.9,50.1
Algeria,6442,0,529,0,3158,0,2755,22,6500,8.2,49.0
Bahrain,6198,0,10,0,2353,0,3835,4,214084,0.2,38.0
Finland,6145,0,287,0,4300,0,1558,33,137000,4.7,70.0
Kazakhstan,5689,118,34,2,2531,0,3124,31,459736,0.6,44.5
Afghanistan,5639,0,136,0,691,0,4812,7,19732,2.4,12.3
Moldova,5553,0,194,0,2228,0,3131,251,20447,3.5,40.1
Ghana,5530,0,24,0,674,0,4832,5,167704,0.4,12.2
Nigeria,5162,0,167,0,1180,0,3815,7,30657,3.2,22.9
Oman,4341,0,18,0,1303,0,3020,31,61000,0.4,30.0
Luxembourg,3915,0,103,0,3665,0,147,11,58727,2.6,93.6
Armenia,3860,0,49,0,1572,0,2239,10,36016,1.3,40.7
Hungary,3417,37,442,6,1287,118,1688,49,123258,12.9,37.7
Bolivia,3372,224,152,10,356,17,2864,3,7651,4.5,10.6
Iraq,3143,0,115,0,2028,0,1000,0,140573,3.7,64.5
Thailand,3025,7,56,0,2854,4,115,61,286008,1.9,94.3
Cameroon,2954,0,139,0,1553,0,1262,28,0,4.7,52.6
Azerbaijan,2879,0,35,0,1833,0,1011,29,214291,1.2,63.7
Greece,2770,0,156,0,1374,0,1240,24,116233,5.6,49.6
Uzbekistan,2652,7,11,0,2136,0,505,8,325000,0.4,80.5
Guinea,2473,0,15,0,895,0,1563,18,10304,0.6,36.2
Honduras,2318,63,133,10,253,16,1932,10,5653,5.7,10.9
Croatia,2221,0,94,0,1850,0,277,7,50340,4.2,83.3
Bosnia and Herzegovina,2218,0,122,0,1272,0,824,4,45810,5.5,57.3
Senegal,2189,0,23,0,842,0,1324,6,24599,1.1,38.5
Bulgaria,2138,38,102,3,545,14,1491,51,61711,4.8,25.5
Ivory Coast,1971,0,24,0,930,0,1017,0,15260,1.2,47.2
Cuba,1830,0,79,0,1383,0,368,9,75142,4.3,75.6
Sudan,1818,0,90,0,198,0,1530,0,0,5.0,10.9
Iceland,1802,0,10,0,1780,0,12,0,55626,0.6,98.8
Estonia,1758,0,62,0,909,0,787,5,67130,3.5,51.7
North Macedonia,1723,0,95,0,1235,0,393,21,20088,5.5,71.7
Guatemala,1518,176,29,0,129,8,1360,5,7200,1.9,8.5
Lithuania,1511,0,54,0,934,0,523,17,208253,3.6,61.8
New Zealand,1498,1,21,0,1421,10,56,2,216787,1.4,94.9
Slovakia,1477,0,27,0,1112,0,338,5,131910,1.8,75.3
Slovenia,1464,0,103,0,267,0,1094,7,66678,7.0,18.2
Djibouti,1284,0,3,0,905,0,376,0,16647,0.2,70.5
Somalia,1284,0,53,0,135,0,1096,2,0,4.1,10.5
Congo (Kinshasa),1242,0,50,0,157,0,1035,0,0,4.0,12.6
El Salvador,1210,98,23,0,416,11,771,19,48913,1.9,34.4
Mayotte,1210,0,16,0,627,0,567,10,5000,1.3,51.8
Kyrgyzstan,1111,29,14,2,745,10,352,13,59490,1.3,67.1
Gabon,1104,0,10,0,182,0,912,13,5530,0.9,16.5
Hong Kong,1052,0,4,0,1009,0,39,1,168291,0.4,95.9
Tunisia,1032,0,45,0,770,0,217,3,36523,4.4,74.6
Maldives,982,0,4,0,45,0,933,2,11775,0.4,4.6
Latvia,962,0,19,0,627,0,316,2,83275,2.0,65.2
Kosovo,944,0,29,0,690,0,225,0,0,3.1,73.1
Sri Lanka,925,0,9,0,445,0,471,1,39629,1.0,48.1
Guinea-Bissau,913,0,3,0,26,0,884,0,1500,0.3,2.8
Cyprus,907,0,17,0,481,0,409,10,81942,1.9,53.0
Tajikistan,907,0,29,0,0,0,878,0,0,3.2,0.0
Albania,898,0,31,0,694,0,173,1,11239,3.5,77.3
Lebanon,886,0,26,0,236,0,624,4,56385,2.9,26.6
Niger,876,0,50,0,677,0,149,0,5723,5.7,77.3
Costa Rica,830,0,8,0,535,0,287,4,18388,1.0,64.5
Mali,779,0,46,0,436,0,297,0,2498,5.9,56.0
Burkina Faso,773,0,51,0,592,0,130,0,0,6.6,76.6
Andorra,761,0,49,0,596,0,116,3,1673,6.4,78.3
Kenya,758,0,42,0,284,0,432,1,36918,5.5,37.5
Paraguay,754,0,11,0,184,0,559,0,18184,1.5,24.4
Uruguay,724,0,19,0,547,0,158,7,31209,2.6,75.6
Cruise Ship,712,0,13,0,651,0,48,4,0,1.8,91.4
Georgia,667,0,12,0,383,0,272,6,34500,1.8,57.4
Zambia,654,0,7,0,124,0,523,1,15487,1.1,19.0
San Marino,648,0,41,0,172,0,435,1,3300,6.3,26.5
Jordan,586,0,9,0,393,0,184,5,131985,1.5,67.1
Equatorial Guinea,583,0,7,0,13,0,563,0,854,1.2,2.2
Channel Islands,549,1,43,0,456,0,50,0,5342,7.8,83.1
Malta,522,0,6,0,443,0,73,1,45967,1.1,84.9
Jamaica,509,0,9,0,118,0,382,0,7780,1.8,23.2
Tanzania,509,0,21,0,183,0,305,7,0,4.1,36.0
Venezuela,455,15,10,0,220,0,225,2,535742,2.2,48.4
Taiwan,440,0,7,0,383,0,50,0,68335,1.6,87.0
Réunion,440,0,0,0,354,0,86,4,17200,0.0,80.5
Sierra Leone,408,0,26,0,97,0,285,0,0,6.4,23.8
Chad,399,0,46,0,83,0,270,0,0,11.5,20.8
Congo (Brazzaville),391,0,15,0,87,0,289,0,0,3.8,22.3
Palestine,375,0,2,0,310,0,63,0,43566,0.5,82.7
Benin,339,0,2,0,83,0,254,0,25471,0.6,24.5
Isle of Man,332,0,23,0,285,0,24,20,3973,6.9,85.8
Mauritius,332,0,10,0,322,0,0,0,69773,3.0,97.0
Montenegro,324,0,9,0,309,0,6,2,10167,2.8,95.4
Cabo Verde,315,0,2,0,67,0,246,0,791,0.6,21.3
Vietnam,312,0,0,0,260,0,52,2,275000,0.0,83.3
Rwanda,287,0,0,0,168,0,119,0,45140,0.0,58.5
Haiti,273,39,20,2,18,1,235,0,1502,7.3,6.6
Ethiopia,272,0,5,0,108,0,159,0,45278,1.8,39.7
Nepal,249,3,0,0,35,0,214,0,81685,0.0,14.1
Togo,238,0,11,0,96,0,131,0,11796,4.6,40.3
Sao Tome and Principe,235,0,7,0,4,0,224,0,175,3.0,1.7
Madagascar,230,0,0,0,108,0,122,1,5670,0.0,47.0
Liberia,215,0,20,0,105,0,90,0,0,9.3,48.8
South Sudan,203,0,0,0,3,0,200,0,3356,0.0,1.5
Martinique,189,0,14,0,91,0,84,2,0,7.4,48.1
Eswatini,187,0,2,0,51,0,134,0,2262,1.1,27.3
Faroe Islands,187,0,0,0,187,0,0,0,8638,0.0,100.0
Myanmar,181,0,6,0,84,0,91,0,12482,3.3,46.4
French Guiana,164,0,1,0,124,0,39,0,0,0.6,75.6
Uganda,160,0,0,0,63,0,97,0,67559,0.0,39.4
Guadeloupe,155,0,13,0,109,0,33,4,0,8.4,70.3
Gibraltar,147,0,0,0,144,0,3,0,4750,0.0,98.0
CAR,143,0,0,0,10,0,133,0,3498,0.0,7.0
Brunei,141,0,1,0,134,0,6,2,16523,0.7,95.0
Bermuda,122,0,9,0,66,0,47,2,4691,7.4,54.1
Cambodia,122,0,0,0,121,0,1,1,14461,0.0,99.2
Trinidad and Tobago,116,0,8,0,107,0,1,0,2576,6.9,92.2
Mozambique,115,0,0,0,35,0,80,0,5119,0.0,30.4
Guyana,113,0,10,0,42,0,61,3,1052,8.8,37.2
Aruba,101,0,3,0,93,0,5,4,1937,3.0,92.1
Mongolia,98,0,0,0,15,0,83,2,10162,0.0,15.3
Monaco,96,0,4,0,87,0,5,1,0,4.2,90.6
Bahamas,96,0,11,0,41,0,44,1,1700,11.5,42.7
Cayman Islands,93,0,1,0,54,0,38,3,5342,1.1,58.1
Yemen,85,0,12,0,1,0,72,0,120,14.1,1.2
Barbados,85,0,7,0,65,0,13,4,3480,8.2,76.5
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Sint Maarten,76,0,15,0,46,0,15,7,329,19.7,60.5
Libya,64,0,3,0,28,0,33,0,3253,4.7,43.8
Malawi,63,0,3,0,24,0,36,1,1363,4.8,38.1
Angola,48,0,2,0,14,0,32,0,6136,4.2,29.2
Syria,48,0,3,0,29,0,16,0,0,6.2,60.4
Macau,45,0,0,0,43,0,2,1,0,0.0,95.6
Eritrea,39,0,0,0,38,0,1,0,0,0.0,97.4
Saint Martin,39,0,3,0,30,0,6,1,0,7.7,76.9
Zimbabwe,37,0,4,0,13,0,20,0,36081,10.8,35.1
Nicaragua,25,0,8,0,7,0,10,0,0,32.0,28.0
Antigua and Barbuda,25,0,3,0,19,0,3,1,183,12.0,76.0
Timor-Leste,24,0,0,0,21,0,3,0,738,0.0,87.5
Botswana,24,0,1,0,17,0,6,0,11495,4.2,70.8
Gambia,23,0,1,0,10,0,12,0,1341,4.3,43.5
Grenada,21,0,0,0,14,1,7,4,2419,0.0,66.7
Mauritania,20,0,2,0,7,0,11,0,2015,10.0,35.0
Bhutan,20,1,0,0,5,0,15,0,12932,0.0,25.0
Laos,19,0,0,0,14,0,5,0,4092,0.0,73.7
Fiji,18,0,0,0,14,0,4,0,1300,0.0,77.8
New Caledonia,18,0,0,0,18,0,0,0,5454,0.0,100.0
Belize,18,0,2,0,16,0,0,0,1043,11.1,88.9
Saint Lucia,18,0,0,0,18,0,0,0,727,0.0,100.0
St. Vincent Grenadines,17,0,0,0,12,0,5,0,155,0.0,70.6
Dominica,16,0,0,0,15,0,1,0,420,0.0,93.8
Namibia,16,0,0,0,12,0,4,0,2011,0.0,75.0
Curaçao,16,0,1,0,14,0,1,0,389,6.2,87.5
Saint Kitts and Nevis,15,0,0,0,14,0,1,0,327,0.0,93.3
Burundi,15,0,1,0,7,0,7,0,284,6.7,46.7
Falkland Islands,13,0,0,0,13,0,0,0,402,0.0,100.0
Turks and Caicos,12,0,1,0,10,0,1,0,109,8.3,83.3
Vatican City,12,0,0,0,2,0,10,0,0,0.0,16.7
Comoros,11,0,1,0,3,0,7,0,0,9.1,27.3
Seychelles,11,0,0,0,10,0,1,0,0,0.0,90.9
Montserrat,11,0,1,0,8,0,2,1,36,9.1,72.7
Greenland,11,0,0,0,11,0,0,0,1579,0.0,100.0
Suriname,10,0,1,0,9,0,0,0,404,10.0,90.0
MS Zaandam,9,0,2,0,0,0,7,0,0,22.2,0.0
Papua New Guinea,8,0,0,0,8,0,0,0,2402,0.0,100.0
British Virgin Islands,7,0,1,0,4,0,2,0,167,14.3,57.1
St. Barth,6,0,0,0,6,0,0,0,0,0.0,100.0
Western Sahara,6,0,0,0,6,0,0,0,0,0.0,100.0
Caribbean Netherlands,6,0,0,0,6,0,0,0,357,0.0,100.0
Anguilla,3,0,0,0,3,0,0,0,0,0.0,100.0
Saint Pierre Miquelon,1,0,0,0,1,0,0,0,0,0.0,100.0
Lesotho,1,0,0,0,0,0,1,0,0,0.0,0.0
64,0,0,37,0,6,0,-43,1688,46,inf,inf
192,0,0,0,0,0,0,0,5,0,,
96,0,0,1,0,0,0,-1,30,0,inf,
128,0,0,0,0,0,0,0,270,3,,
32,0,0,10,0,1,0,-11,3736,31,inf,inf
207,0,0,1,0,0,0,-1,1,33,inf,
160,0,0,0,0,0,0,0,61,13,,
69,0,0,0,0,0,0,0,1011,3,,
197,0,0,0,0,0,0,0,1,0,,
101,0,0,0,0,0,0,0,884,2,,
5,0,0,0,0,0,0,0,76440,519,,
133,0,0,0,0,0,0,0,0,8,,
37,0,0,0,0,0,0,0,9727,10,,
212,0,0,0,0,0,0,0,0,0,,
165,0,0,0,0,0,0,0,38,15,,
170,0,0,0,0,0,0,0,33,0,,
74,0,0,0,0,0,0,0,277,23,,
106,0,0,0,0,0,0,0,149,2,,
10,0,0,0,0,0,0,0,17140,82,,
138,0,0,0,0,0,0,0,119,0,,
42,0,0,27,0,0,0,-27,937,5,inf,
175,0,0,0,0,0,0,0,2,0,,
79,0,0,0,0,0,0,0,368,7,,
111,0,0,0,0,0,0,0,432,0,,
15,0,0,0,0,0,0,0,27535,8,,
143,0,0,28,0,1,0,-29,227,0,inf,inf
47,0,0,1,0,0,0,-1,2810,27,inf,
180,0,0,0,0,0,0,0,3,31,,
84,0,0,12,0,0,0,-12,504,20,inf,
116,0,0,0,0,0,0,0,523,0,,
20,0,0,0,0,0,0,0,24731,133,,
148,0,0,0,0,0,0,0,0,0,,
52,0,0,0,0,0,0,0,3107,5,,
185,0,0,0,0,0,0,0,7,0,,
89,0,0,56,0,0,0,-56,1036,0,inf,
121,0,0,0,0,0,0,0,73,14,,
25,0,0,793,0,0,0,-793,20897,4,inf,
200,0,0,0,0,0,0,0,10,0,,
153,0,0,0,0,0,0,0,3,0,,
57,0,0,118,0,2,0,-120,3124,2,inf,inf
62,0,0,184,0,3,0,-187,2326,18,inf,inf
190,0,0,0,0,0,0,0,0,0,,
94,0,0,29,0,2,0,-31,352,2,inf,inf
126,0,0,0,0,0,0,0,86,0,,
30,0,0,235,0,10,0,-245,10039,24,inf,inf
205,0,0,0,0,0,0,0,0,2,,
158,0,0,0,0,0,0,0,1,6,,
67,0,0,7,0,0,0,-7,115,0,inf,
195,0,0,0,0,0,0,0,3,0,,
99,0,0,8,0,0,0,-8,289,10,inf,
3,0,0,10598,0,113,0,-10711,202199,17,inf,inf
131,0,0,0,0,0,0,0,254,0,,
35,0,0,0,0,0,0,0,5555,6,,
210,0,0,0,0,0,0,0,0,0,,
163,0,0,0,0,0,0,0,44,28,,
168,0,0,0,0,0,0,0,26,26,,
72,0,0,0,0,0,0,0,1563,1,,
104,0,0,0,0,0,0,0,173,11,,
8,0,0,0,0,0,0,0,15347,95,,
136,0,0,0,0,0,0,0,52,0,,
40,0,0,0,0,0,0,0,8436,21,,
215,0,0,4,0,0,0,-4,91,3,inf,
173,0,0,0,0,0,0,0,16,0,,
77,0,0,38,0,3,0,-41,1491,15,inf,inf
109,0,0,0,0,0,0,0,130,2,,
13,0,0,0,0,0,0,0,31838,145,,
141,0,0,0,0,0,0,0,131,1,,
45,0,0,0,0,0,0,0,6066,26,,
178,0,0,0,0,0,0,0,20,0,,
82,0,0,8,0,1,0,-9,780,47,inf,inf
114,0,0,0,0,0,0,0,48,0,,
18,0,0,1430,0,33,0,-1463,26260,4,inf,inf
146,0,0,0,0,0,0,0,84,37,,
50,0,0,30,0,0,0,-30,587,4,inf,
183,0,0,0,0,0,0,0,12,0,,
87,0,0,3,0,0,0,-3,322,5,inf,
119,0,0,0,0,0,0,0,563,5,,
23,0,0,0,0,0,0,0,23937,116,,
151,0,0,0,0,0,0,0,97,0,,
55,0,0,0,0,0,0,0,3835,6,,
188,0,0,0,0,0,0,0,0,5,,
92,0,0,98,0,0,0,-98,771,4,inf,
124,0,0,0,0,0,0,0,225,0,,
28,0,0,0,0,0,0,0,13946,21,,
203,0,0,0,0,0,0,0,0,0,,
156,0,0,0,0,0,0,0,47,144,,
60,0,0,0,0,0,0,0,3815,0,,
65,0,0,224,0,10,0,-234,2864,13,inf,inf
193,0,0,0,0,0,0,0,1,6,,
97,0,0,0,0,0,0,0,217,4,,
1,0,0,0,0,0,0,0,1052654,263,,
129,0,0,0,0,0,0,0,289,3,,
33,0,0,490,0,33,0,-523,11617,4,inf,inf
208,0,0,0,0,0,0,0,0,0,,
161,0,0,0,0,0,0,0,5,28,,
70,0,0,0,0,0,0,0,1240,15,,
198,0,0,0,0,0,0,0,0,0,,
102,0,0,0,0,0,0,0,878,3,,
6,0,0,247,0,6,0,-253,109687,66,inf,inf
134,0,0,0,0,0,0,0,6,14,,
38,0,0,0,0,0,0,0,6825,4,,
213,0,0,0,0,0,0,0,1,0,,
166,0,0,0,0,0,0,0,72,0,,
171,0,0,0,0,0,0,0,36,0,,
75,0,0,0,0,0,0,0,824,37,,
107,0,0,0,0,0,0,0,287,2,,
11,0,0,267,0,0,0,-267,51529,2,inf,
139,0,0,39,0,2,0,-41,235,2,inf,inf
43,0,0,0,0,0,0,0,7632,6,,
176,0,0,0,0,0,0,0,6,78,,
80,0,0,0,0,0,0,0,1530,2,,
112,0,0,0,0,0,0,0,559,2,,
16,0,0,0,0,0,0,0,0,326,,
144,0,0,0,0,0,0,0,122,0,,
48,0,0,0,0,0,0,0,7932,43,,
181,0,0,0,0,0,0,0,6,0,,
85,0,0,176,0,0,0,-176,1360,2,inf,
117,0,0,0,0,0,0,0,435,1209,,
21,0,0,0,0,0,0,0,1491,217,,
149,0,0,0,0,0,0,0,91,0,,
53,0,0,0,0,0,0,0,2755,12,,
186,0,0,0,0,0,0,0,11,0,,
90,0,0,0,0,0,0,0,1096,3,,
122,0,0,0,0,0,0,0,305,0,,
26,0,0,0,0,0,0,0,18453,16,,
201,0,0,0,0,0,0,0,7,1,,
154,0,0,0,0,0,0,0,133,0,,
58,0,0,0,0,0,0,0,3131,48,,
63,0,0,0,0,0,0,0,147,165,,
191,0,0,0,0,0,0,0,0,0,,
95,0,0,0,0,0,0,0,912,5,,
127,0,0,0,0,0,0,0,285,3,,
31,0,0,483,0,20,0,-503,12381,11,inf,inf
206,0,0,0,0,0,0,0,7,0,,
159,0,0,0,0,0,0,0,80,0,,
68,0,0,0,0,0,0,0,1262,5,,
196,0,0,0,0,0,0,0,7,0,,
100,0,0,0,0,0,0,0,439,0,,
4,0,0,0,0,0,0,0,0,495,,
132,0,0,0,0,0,0,0,24,271,,
36,0,0,0,0,0,0,0,1027,70,,
211,0,0,0,0,0,0,0,0,0,,
164,0,0,0,0,0,0,0,5,102,,
169,0,0,0,0,0,0,0,15,350,,
73,0,0,63,0,10,0,-73,1932,13,inf,inf
105,0,0,0,0,0,0,0,624,4,,
9,0,0,0,0,0,0,0,36712,48,,
137,0,0,15,0,0,0,-15,170,0,inf,
41,0,0,0,0,0,0,0,7547,39,,
174,0,0,0,0,0,0,0,32,0,,
78,0,0,0,0,0,0,0,1017,0,,
110,0,0,0,0,0,0,0,116,634,,
14,0,0,356,0,56,0,-412,31384,773,inf,inf
142,0,0,0,0,0,0,0,224,32,,
46,0,0,174,0,4,0,-178,2778,60,inf,inf
179,0,0,0,0,0,0,0,10,1,,
83,0,0,0,0,0,0,0,393,46,,
115,0,0,4,0,0,0,-4,266,3,inf,
19,0,0,0,0,0,0,0,21017,19,,
147,0,0,0,0,0,0,0,134,2,,
51,0,0,36,0,0,0,-36,1304,3,inf,
184,0,0,1,0,0,0,-1,16,0,inf,
88,0,0,1,0,0,0,-1,1092,50,inf,
120,0,0,0,0,0,0,0,50,248,,
24,0,0,0,0,0,0,0,24902,5,,
152,0,0,0,0,0,0,0,33,32,,
56,0,0,414,0,17,0,-431,5155,4,inf,inf
61,0,0,284,0,1,0,-285,3256,4,inf,inf
189,0,0,0,0,0,0,0,4,0,,
93,0,0,0,0,0,0,0,567,59,,
125,0,0,0,0,0,0,0,46,0,,
29,0,0,1202,0,15,0,-1217,15885,2,inf,inf
204,0,0,0,0,0,0,0,1,0,,
157,0,0,0,0,0,0,0,1,0,,
66,0,0,0,0,0,0,0,1000,3,,
194,0,0,0,0,0,0,0,1,0,,
98,0,0,0,0,0,0,0,933,7,,
2,0,0,0,0,0,0,0,58845,584,,
130,0,0,0,0,0,0,0,63,0,,
34,0,0,0,0,3,0,-3,6138,55,,inf
209,0,0,0,0,0,0,0,0,0,,
162,0,0,37,0,0,0,-37,78,0,inf,
71,0,0,7,0,0,0,-7,505,0,inf,
199,0,0,0,0,0,0,0,1,26,,
103,0,0,0,0,0,0,0,409,14,,
7,0,0,0,0,0,0,0,91840,420,,
135,0,0,0,0,0,0,0,246,4,,
39,0,0,215,0,16,0,-231,8825,7,inf,inf
214,0,0,0,0,0,0,0,0,0,,
167,0,0,0,0,0,0,0,13,24,,
172,0,0,0,0,0,0,0,1,0,,
76,0,0,0,0,0,0,0,1324,1,,
108,0,0,0,0,0,0,0,297,2,,
12,0,0,0,0,0,0,0,53186,69,,
140,0,0,9,0,0,0,-9,222,0,inf,
44,0,0,78,0,0,0,-78,1449,93,inf,
177,0,0,0,0,0,0,0,1,0,,
81,0,0,0,0,0,0,0,12,29,,
113,0,0,0,0,0,0,0,158,5,,
17,0,0,2409,0,257,0,-2666,9643,35,inf,inf
145,0,0,0,0,0,0,0,90,4,,
49,0,0,0,0,0,0,0,4396,8,,
182,0,0,0,0,0,0,0,0,0,,
86,0,0,1,0,0,0,-1,56,4,inf,
118,0,0,0,0,0,0,0,184,0,,
22,0,0,0,0,0,0,0,20082,350,,
150,0,0,0,0,0,0,0,39,3,,
54,0,0,83,0,0,0,-83,1641,52,inf,
187,0,0,0,0,0,0,0,5,0,,
91,0,0,0,0,0,0,0,376,3,,
123,0,0,0,0,0,0,0,382,3,,
27,0,0,0,0,0,0,0,2851,305,,
202,0,0,0,0,0,0,0,2,200,,
155,0,0,0,0,0,0,0,6,2,,
59,0,0,0,0,0,0,0,4832,0,,
