countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Czechia,7755,18,245,5,3461,89,4049,67,253826,3.2,44.6
Dominican Republic,7578,290,326,13,1481,94,5771,144,30102,4.3,19.5
Colombia,7285,279,324,10,1666,115,5295,118,108950,4.4,22.9
Australia,6783,16,93,0,5789,44,901,28,611583,1.4,85.3
Panama,6720,188,192,4,622,46,5906,85,31895,2.9,9.3
South Africa,6336,385,123,7,2549,167,3664,36,230686,1.9,40.2
Egypt,6193,298,415,9,1522,62,4256,0,90000,6.7,24.6
Malaysia,6176,105,103,0,4326,116,1747,31,184213,1.7,70.0
Finland,5176,125,220,2,3000,0,1956,52,101800,4.3,58.0
Morocco,4729,160,173,2,1256,173,3300,1,39367,3.7,26.6
Kuwait,4619,242,33,3,1703,101,2883,69,179000,0.7,36.9
Argentina,4532,0,229,4,1320,28,2983,157,63866,5.1,29.1
Algeria,4295,141,459,6,1872,51,1964,22,6500,10.7,43.6
Moldova,4052,72,124,2,1334,62,2594,237,11763,3.1,32.9
Kazakhstan,3857,260,25,0,985,63,2847,41,282862,0.6,25.5
Luxembourg,3812,10,92,0,3318,105,402,23,47460,2.4,87.0
Bahrain,3284,114,8,0,1568,13,1708,1,139354,0.2,47.7
Thailand,2966,6,54,0,2732,13,180,61,178083,1.8,92.1
Hungary,2942,79,335,12,625,16,1982,52,79551,11.4,21.2
Greece,2620,8,143,3,1374,0,1103,37,78207,5.5,52.4
Oman,2483,36,12,1,750,255,1721,17,40459,0.5,30.2
Afghanistan,2469,134,72,4,331,21,2066,7,11068,2.9,13.4
Nigeria,2388,218,85,17,351,0,1952,2,16588,3.6,14.7
Armenia,2273,125,33,0,1010,33,1230,10,23142,1.5,44.4
Iraq,2219,66,95,1,1473,59,651,0,98253,4.3,66.4
Ghana,2169,95,18,1,229,17,1922,4,113497,0.8,10.6
Uzbekistan,2118,32,9,0,1271,59,838,8,242536,0.4,60.0
Croatia,2088,3,77,2,1463,42,548,17,37557,3.7,70.1
Cameroon,2077,245,64,3,953,19,1060,12,0,3.1,45.9
Azerbaijan,1894,40,25,0,1411,46,458,17,152597,1.3,74.5
Bosnia and Herzegovina,1839,58,72,2,779,24,988,4,32783,3.9,42.4
Iceland,1798,0,10,0,1706,17,82,0,50002,0.6,94.9
Estonia,1699,5,53,1,256,3,1390,7,54464,3.1,15.1
Cuba,1611,74,66,2,765,51,780,10,51506,4.1,47.5
Bulgaria,1594,39,72,4,287,11,1235,43,47636,4.5,18.0
Guinea,1586,49,7,0,405,63,1174,0,0,0.4,25.5
North Macedonia,1506,12,82,1,852,45,572,21,16997,5.4,56.6
New Zealand,1485,6,20,1,1263,11,202,0,145589,1.3,85.1
Slovenia,1439,5,94,2,239,6,1106,21,55020,6.5,16.6
Slovakia,1407,4,24,1,608,50,775,5,94770,1.7,43.2
Lithuania,1406,7,46,1,632,38,728,17,138270,3.3,45.0
Ivory Coast,1362,29,15,0,622,25,725,0,10508,1.1,45.7
Bolivia,1229,62,66,4,134,2,1029,3,5791,5.4,10.9
Senegal,1115,91,9,0,368,12,738,1,466,0.8,33.0
Djibouti,1112,15,2,0,686,14,424,0,13856,0.2,61.7
Hong Kong,1040,0,4,0,864,5,172,4,154989,0.4,83.1
Tunisia,1009,11,42,1,323,7,644,25,24055,4.2,32.0
Honduras,899,95,75,0,112,0,712,10,3643,8.3,12.5
Latvia,871,1,16,0,348,0,507,2,63102,1.8,40.0
Cyprus,864,7,15,0,296,0,553,15,62267,1.7,34.3
Kosovo,823,17,22,0,336,65,465,0,0,2.7,40.8
Albania,789,7,31,0,519,31,239,4,8669,3.9,65.8
Kyrgyzstan,769,13,8,0,527,23,234,12,51472,1.0,68.5
Andorra,747,2,44,1,472,4,231,17,1673,5.9,63.2
Niger,736,8,35,2,507,29,194,0,5271,4.8,68.9
Costa Rica,733,8,6,0,372,17,355,6,13632,0.8,50.8
Lebanon,733,4,25,1,197,5,511,43,37880,3.4,26.9
Cruise Ship,712,0,13,0,645,0,54,4,0,1.8,90.6
Sri Lanka,702,12,7,0,172,10,523,1,23525,1.0,24.5
Somalia,671,70,31,3,34,3,606,2,0,4.6,5.1
Burkina Faso,652,3,44,0,535,18,73,0,0,6.7,82.1
